Document,Label
I like westerns more than boardgames .,1
"I do not like biologists , I prefer waiters .",1
"I like birds , and hamsters too .",1
"I like lard , and apples too .",1
"I like earrings , except socks .",0
I like shoes more than necklaces .,1
"He trusts his taste , except reports .",0
"He likes wisdom , except fear .",0
"I use nylon , except leather .",0
"I like clothes , and shirts too .",0
"He trusts reports , except his taste .",0
I like scientists more than caretakers .,1
"I like paintings , and chairs too .",1
"I use glass , but not PVC .",1
"I like jewelry , but not blues .",1
I use glass more than nylon .,1
"I like dogs , except parrots .",0
I like caretakers more than workers .,0
"I like firs , and shrubs too .",1
I like bushes more than pines .,1
"I like shoes , except earrings .",0
"I use PVC , and leather too .",1
I like trees more than shrubs .,1
"I like bracelets , except glasses .",0
"I do not like scientists , I prefer clerks .",1
"I do not like birches , I prefer trees .",0
"I like dogs , but not hamsters .",1
"I like schools , except clerks .",0
"He trusts reports , except his sight .",0
I like hamsters more than huskies .,1
"I like apples , but not bacon .",1
"I like glasses , and rings too .",1
I like socks more than clothes .,0
"He trusts his senses , and his touch too .",0
He likes joy more than logic .,1
"I do not like furniture , I prefer tables .",0
"I like essays , except paintings .",0
"I do not like films , I prefer handbooks .",1
"He does not trust his senses , he prefers his hearing .",0
"I do not like ham , I prefer pork .",0
"I like professors , except factories .",0
"I like dogs , and parrots too .",1
"I like hamsters , and pets too .",0
"I like sprite , except Chardonnay .",0
"I do not like shoes , I prefer earrings .",1
"I do not like seafood , I prefer caviar .",0
"I like music , and food too .",1
I like seafood more than crabs .,0
"I like trees , except oaks .",1
"I like rock , and sports too .",1
I like turkey more than crabs .,1
"I like sports , except techno .",0
"He likes logic , and love too .",1
"I like novels , but not paintings .",1
"He trusts guesses , and his hearing too .",1
He likes stupidity more than joy .,1
"I met waiters , but not geneticists .",1
"I like prosciutto , but not pork .",0
"I like thrillers , and essays too .",1
He likes joy more than stupidity .,1
"I like paintings , except textbooks .",0
I like parrots more than birds .,0
"I do not like clothes , I prefer glasses .",1
"I do not like rings , I prefer handbags .",1
I like furniture more than wardrobes .,0
"I like dogs , but not whales .",1
"I like wine , but not coca-cola .",1
"I like whales , but not hamsters .",1
He likes emotions more than sadness .,0
I like documentaries more than movies .,0
"I met biologists , and scientists too .",0
"I like wine , but not beer .",1
"I do not like workers , I prefer waiters .",0
"I like textbooks , except comedies .",0
"I do not like movies , I prefer essays .",1
"I use leather , but not polyester .",1
"I do not like comedies , I prefer movies .",0
"I like fish , but not lard .",1
"I like veal , except salmon .",0
"I like beds , but not furniture .",0
"I like chicken , and crabs too .",1
"I like broccoli , and prosciutto too .",1
"I like shirts , and glasses too .",1
"He does not like emotions , he prefers love .",0
"I like hamsters , and bobtails too .",1
"I like necklaces , but not scarfs .",1
"I like bulldogs , except hamsters .",0
"I do not like bears , I prefer cats .",1
"I like clothes , but not shirts .",1
"I like glasses , but not skirts .",1
"I like caviar , but not veal .",1
"I like trains , except enduros .",0
I like paintings more than chairs .,1
I like Chardonnay more than wine .,0
He likes sadness more than calculations .,1
I like enduros more than bicycles .,1
"I like movies , except documentaries .",1
"I like seafood , except crabs .",1
"I do not like beer , I prefer Chianti .",1
"I do not like dogs , I prefer hamsters .",1
"I do not like PVC , I prefer plastic .",0
"I do not like clothes , I prefer shirts .",0
"I like movies , but not textbooks .",1
"I like birches , but not bushes .",1
I like boardgames more than techno .,1
I like boardgames more than documentaries .,1
"I do not like factories , I prefer clerks .",1
"He does not like sadness , he prefers emotions .",0
"I like shirts , but not earrings .",1
"I like clothes , except socks .",1
"He trusts his sight , except reports .",0
I like trousers more than clothes .,0
I like dogs more than hamsters .,1
"I do not like motorcycles , I prefer bicycles .",1
"I met caretakers , but not biologists .",1
"I like prosciutto , and pork too .",0
I like dogs more than parrots .,1
"I like techno , and food too .",1
"I do not like enduros , I prefer ships .",1
"I like veal , except caviar .",0
"I like birds , and pigs too .",1
"I like pigs , except parrots .",0
He trusts reconstructions more than his touch .,1
"I use vinyl , and cotton too .",1
"He likes stupidity , but not fear .",1
"I like bulldogs , but not rabbits .",1
"I do not like movies , I prefer documentaries .",0
"I like comedies , but not movies .",0
"I like seafood , but not turkey .",1
I like firs more than trees .,0
"I like wine , and Chianti too .",0
"I met physicists , except clerks .",0
"I like chairs , and paintings too .",1
"I like coca-cola , and Chardonnay too .",1
I like animals more than firs .,1
"I like films , and handbooks too .",1
"He trusts his sight , except guesses .",0
I like trousers more than pets .,1
"I like pets , and bears too .",1
"I do not like dogs , I prefer cats .",1
"I do not like waiters , I prefer workers .",0
I like scarfs more than necklaces .,1
"I like bushes , but not pines .",1
"I like birds , except pigs .",0
"I like thrillers , except movies .",0
"I do not like crabs , I prefer seafood .",0
"I like pets , and rabbits too .",0
I like pets more than dogs .,0
"I like crabs , and turkey too .",1
"I like clothes , but not glasses .",1
"I like essays , and music too .",1
"I like sparrows , except hamsters .",0
"I like factories , and caretakers too .",1
"I like pines , except animals .",0
"I do not like geneticists , I prefer caretakers .",1
I like documentaries more than textbooks .,1
I like sports more than techno .,1
"I do not like paintings , I prefer novels .",1
"I do not like oysters , I prefer chicken .",1
"I like glasses , but not rings .",1
"I like chairs , except paintings .",0
"I met biologists , and janitors too .",1
"I like bobtails , but not parrots .",1
I like carrots more than lard .,1
"I like oaks , except bushes .",0
"I like boardgames , except rock .",0
I like wine more than Merlot .,0
"I like Chianti , but not coca-cola .",1
"I like seafood , but not caviar .",1
I like Merlot more than wine .,0
"I like pork , but not broccoli .",1
I like astronomers more than waiters .,1
I like apples more than bacon .,1
"I like sports , and jazz too .",1
"I like sprite , and Chardonnay too .",1
I like necklaces more than handbags .,1
I like scientists more than biologists .,0
I like pork more than fish .,1
"I like dogs , except huskies .",1
I like Suzukis more than motorcycles .,0
